Subject,Course Number,Section Number,Class Number,M,T,W,Th,F,Sa,Su,Departmental Approval,Max Enroll
CSE,5393,10,81077,N,N,N,N,N,N,N,Y,10
CSE,5393,11,81078,N,N,N,N,N,N,N,Y,10
CSE,5393,12,81079,N,N,N,N,N,N,N,Y,10
CSE,5393,13,81080,N,N,N,N,N,N,N,Y,10
CSE,5393,14,81081,N,N,N,N,N,N,N,Y,10
CSE,5393,15,81082,N,N,N,N,N,N,N,Y,10
CSE,5393,16,81083,N,N,N,N,N,N,N,Y,10
CSE,5393,17,81084,N,N,N,N,N,N,N,Y,10
CSE,5393,18,81085,N,N,N,N,N,N,N,Y,10
CSE,5393,19,84733,N,N,N,N,N,N,N,Y,10
CSE,5393,22,87406,N,N,N,N,N,N,N,Y,10
CSE,5393,23,84053,N,N,N,N,N,N,N,Y,10
CSE,5393,27,84701,N,N,N,N,N,N,N,N,10
CSE,5393,29,83545,N,N,N,N,N,N,N,Y,10
CSE,5398,1,81104,N,N,N,N,N,N,N,Y,10
CSE,5398,2,81105,N,N,N,N,N,N,N,Y,10
CSE,5398,3,81106,N,N,N,N,N,N,N,Y,10
CSE,5398,4,81107,N,N,N,N,N,N,N,Y,10
CSE,5398,5,81108,N,N,N,N,N,N,N,Y,10
CSE,5398,6,81109,N,N,N,N,N,N,N,Y,10
CSE,5398,7,81110,N,N,N,N,N,N,N,Y,10
CSE,5398,8,81111,N,N,N,N,N,N,N,Y,10
CSE,5398,9,81112,N,N,N,N,N,N,N,Y,10
CSE,5398,10,81113,N,N,N,N,N,N,N,Y,10
CSE,5398,11,81114,N,N,N,N,N,N,N,Y,10
CSE,5398,12,81115,N,N,N,N,N,N,N,Y,10
CSE,5398,13,81116,N,N,N,N,N,N,N,Y,10
CSE,5398,14,81117,N,N,N,N,N,N,N,Y,10
CSE,5398,15,81118,N,N,N,N,N,N,N,Y,10
CSE,5398,16,81119,N,N,N,N,N,N,N,N,10
CSE,5398,17,81120,N,N,N,N,N,N,N,N,10
CSE,5398,18,81121,N,N,N,N,N,N,N,N,10
CSE,5398,21,86896,N,N,N,N,N,N,N,Y,10
CSE,5398,23,82757,N,N,N,N,N,N,N,Y,10
CSE,5398,24,83403,N,N,N,N,N,N,N,Y,10
CSE,5398,25,84423,N,N,N,N,N,N,N,Y,10
CSE,5398,26,86261,N,N,N,N,N,N,N,Y,10
CSE,5398,27,83552,N,N,N,N,N,N,N,Y,10
CSE,5398,29,83447,N,N,N,N,N,N,N,Y,10
CSE,5698,1,81086,N,N,N,N,N,N,N,N,10
CSE,5698,2,81087,N,N,N,N,N,N,N,N,10
CSE,5698,3,81088,N,N,N,N,N,N,N,N,10
CSE,5698,4,81089,N,N,N,N,N,N,N,N,10
CSE,5698,5,81090,N,N,N,N,N,N,N,N,10
CSE,5698,6,81091,N,N,N,N,N,N,N,N,10
CSE,5698,7,81092,N,N,N,N,N,N,N,N,10
CSE,5698,8,81093,N,N,N,N,N,N,N,N,10
CSE,5698,9,81094,N,N,N,N,N,N,N,N,10
CSE,5698,10,81095,N,N,N,N,N,N,N,N,10
CSE,5698,11,81096,N,N,N,N,N,N,N,N,10
CSE,5698,12,81097,N,N,N,N,N,N,N,N,10
CSE,5698,13,81098,N,N,N,N,N,N,N,N,10
CSE,5698,14,81099,N,N,N,N,N,N,N,N,10
CSE,5698,15,81100,N,N,N,N,N,N,N,N,10
CSE,5698,16,81101,N,N,N,N,N,N,N,N,10
CSE,5698,17,81102,N,N,N,N,N,N,N,N,10
CSE,5698,18,81103,N,N,N,N,N,N,N,N,10
CSE,5698,20,85321,N,N,N,N,N,N,N,N,10
CSE,5698,21,87321,N,N,N,N,N,N,N,N,10
CSE,5698,22,89859,N,N,N,N,N,N,N,N,10
CSE,5698,23,82756,N,N,N,N,N,N,N,N,10
CSE,5698,24,88711,N,N,N,N,N,N,N,N,10
CSE,5698,25,85411,N,N,N,N,N,N,N,N,10
CSE,5698,29,83882,N,N,N,N,N,N,N,N,10
CSE,6197,1,81122,N,N,N,N,N,N,N,N,10
CSE,6197,2,81123,,,,,,,,N,10
CSE,6297,1,81124,N,N,N,N,N,N,N,N,10
CSE,6297,2,81125,,,,,,,,N,10
CSE,6324,1,83881,Y,N,Y,N,N,N,N,N,35
CSE,6329,1,88214,N,Y,N,N,N,N,N,N,20
CSE,6329,2,88215,N,N,N,N,Y,N,N,N,40
CSE,6331,1,86578,N,Y,N,Y,N,N,N,N,40
CSE,6349,2,86999,N,N,N,N,Y,N,N,N,40
CSE,6350,2,87002,,,,,,,,N,40
CSE,6363,1,81126,Y,N,Y,N,N,N,N,N,40
CSE,6363,2,86005,Y,N,N,N,N,N,N,N,40
CSE,6369,2,85793,N,Y,N,Y,N,N,N,N,15
CSE,6397,1,81127,N,N,N,N,N,N,N,N,10
CSE,6397,2,81128,N,N,N,N,N,N,N,N,10
CSE,6397,3,81129,N,N,N,N,N,N,N,N,10
CSE,6397,4,81130,N,N,N,N,N,N,N,N,10
CSE,6397,5,81131,N,N,N,N,N,N,N,N,10
CSE,6397,6,81132,N,N,N,N,N,N,N,N,10
CSE,6397,7,81133,N,N,N,N,N,N,N,N,10
CSE,6397,8,81134,N,N,N,N,N,N,N,N,10
CSE,6397,9,81135,N,N,N,N,N,N,N,N,10
CSE,6397,10,81136,N,N,N,N,N,N,N,N,10
CSE,6397,11,81137,N,N,N,N,N,N,N,N,10
CSE,6397,12,81138,N,N,N,N,N,N,N,N,10
CSE,6397,13,81139,N,N,N,N,N,N,N,N,10
CSE,6397,14,81140,N,N,N,N,N,N,N,N,10
CSE,6397,15,81141,N,N,N,N,N,N,N,N,10
CSE,6397,16,81142,N,N,N,N,N,N,N,N,10
CSE,6397,17,81143,N,N,N,N,N,N,N,N,10
CSE,6397,18,81144,N,N,N,N,N,N,N,N,10
CSE,6397,19,84087,N,N,N,N,N,N,N,N,10
CSE,6397,20,84076,N,N,N,N,N,N,N,N,20
CSE,6397,21,83507,N,N,N,N,N,N,N,N,10
CSE,6397,22,84128,N,N,N,N,N,N,N,N,10
CSE,6397,23,82741,N,N,N,N,N,N,N,N,10
CSE,6397,24,83445,N,N,N,N,N,N,N,N,10
CSE,6397,25,83407,N,N,N,N,N,N,N,N,10
CSE,6397,26,83495,N,N,N,N,N,N,N,N,10
CSE,6397,27,84129,N,N,N,N,N,N,N,N,10
CSE,6397,28,82878,N,N,N,N,N,N,N,N,10
CSE,6397,29,82930,N,N,N,N,N,N,N,N,10
CSE,6397,31,85466,N,N,N,N,N,N,N,N,10
CSE,6397,32,86301,N,N,N,N,N,N,N,N,10
CSE,6399,1,81145,N,N,N,N,N,N,N,N,10
CSE,6399,2,81146,N,N,N,N,N,N,N,N,10
CSE,6399,3,81147,N,N,N,N,N,N,N,N,10
CSE,6399,4,81148,N,N,N,N,N,N,N,N,10
CSE,6399,5,81149,N,N,N,N,N,N,N,N,10
CSE,6399,6,81150,N,N,N,N,N,N,N,N,10
CSE,6399,7,81151,N,N,N,N,N,N,N,N,10
CSE,6399,8,81152,N,N,N,N,N,N,N,N,10
CSE,6399,9,81153,N,N,N,N,N,N,N,N,10
CSE,6399,10,81154,N,N,N,N,N,N,N,N,10
CSE,6399,11,81155,N,N,N,N,N,N,N,N,10
CSE,6399,12,81156,N,N,N,N,N,N,N,N,10
CSE,6399,13,81157,N,N,N,N,N,N,N,N,10
